gene_symbol,source_rbp_names,uniprot_accession,uniprot_length,uniprot_protein_name,uniprot_n_hits,uniprot_ambiguous,uniprot_flag,alphafold_found,alphafold_model_created,alphafold_uniprot_start,alphafold_uniprot_end,alphafold_latest_version,alphafold_http_status
CPSF1,CPSF1,Q10570,1443,Cleavage and polyadenylation specificity factor subunit 1,1,False,,True,2025-08-01T00:00:00Z,1,1443,6,
CPSF2,CPSF2,Q9P2I0,782,Cleavage and polyadenylation specificity factor subunit 2,1,False,,True,2025-08-01T00:00:00Z,1,782,6,
CPSF3,CPSF3,Q9UKF6,684,Cleavage and polyadenylation specificity factor subunit 3,1,False,,True,2025-08-01T00:00:00Z,1,684,6,
CPSF4,CPSF4,O95639,269,Cleavage and polyadenylation specificity factor subunit 4,1,False,,True,2025-08-01T00:00:00Z,1,269,6,
CPSF6,CPSF6,Q16630,551,Cleavage and polyadenylation specificity factor subunit 6,1,False,,True,2025-08-01T00:00:00Z,1,551,6,
CPSF7,CPSF7,Q8N684,471,Cleavage and polyadenylation specificity factor subunit 7,1,False,,True,2025-08-01T00:00:00Z,1,471,6,
CSTF2,CSTF2,P33240,577,Cleavage stimulation factor subunit 2,1,False,,True,2025-08-01T00:00:00Z,1,577,6,
CSTF2T,CSTF2T,Q9H0L4,616,Cleavage stimulation factor subunit 2 tau variant,1,False,,True,2025-08-01T00:00:00Z,1,616,6,
DDX21,DDX21,Q9NR30,783,Nucleolar RNA helicase 2,2,False,,True,2025-08-01T00:00:00Z,1,783,6,
DDX24,DDX24,Q9GZR7,859,ATP-dependent RNA helicase DDX24,1,False,,True,2025-08-01T00:00:00Z,1,859,6,
DDX3X,DDX3X,O00571,662,ATP-dependent RNA helicase DDX3X,1,False,,True,2025-08-01T00:00:00Z,1,662,6,
DDX42,DDX42,Q86XP3,938,ATP-dependent RNA helicase DDX42,1,False,,True,2025-08-01T00:00:00Z,1,938,6,
DDX51,DDX51,Q8N8A6,666,ATP-dependent RNA helicase DDX51,1,False,,True,2025-08-01T00:00:00Z,1,666,6,
DDX52,DDX52,Q9Y2R4,599,Probable ATP-dependent RNA helicase DDX52,1,False,,True,2025-08-01T00:00:00Z,1,599,6,
DDX55,DDX55,Q8NHQ9,600,ATP-dependent RNA helicase DDX55,1,False,,True,2025-08-01T00:00:00Z,1,600,6,
DDX59,DDX59,Q5T1V6,619,Probable ATP-dependent RNA helicase DDX59,1,False,,True,2025-08-01T00:00:00Z,1,619,6,
DDX6,DDX6,P26196,483,Probable ATP-dependent RNA helicase DDX6,1,False,,True,2025-08-01T00:00:00Z,1,483,6,
DGCR8,DGCR8,Q8WYQ5,773,Microprocessor complex subunit DGCR8,1,False,,True,2025-08-01T00:00:00Z,1,773,6,
DHX30,DHX30,Q7L2E3,1194,ATP-dependent RNA helicase DHX30,1,False,,True,2025-08-01T00:00:00Z,1,1194,6,
DKC1,DKC1,O60832,514,H/ACA ribonucleoprotein complex subunit DKC1,1,False,,True,2025-08-01T00:00:00Z,1,514,6,
DROSHA,DROSHA,Q9NRR4,1374,Ribonuclease 3,1,False,,True,2025-08-01T00:00:00Z,1,1374,6,
EFTUD2,EFTUD2,Q15029,972,116 kDa U5 small nuclear ribonucleoprotein component,1,False,,True,2025-08-01T00:00:00Z,1,972,6,
EIF3D,EIF3D,O15371,548,Eukaryotic translation initiation factor 3 subunit D,1,False,,True,2025-08-01T00:00:00Z,1,548,6,
EIF3G,EIF3G,O75821,320,Eukaryotic translation initiation factor 3 subunit G,1,False,,True,2025-08-01T00:00:00Z,1,320,6,
EIF3H,EIF3H,O15372,352,Eukaryotic translation initiation factor 3 subunit H,1,False,,True,2025-08-01T00:00:00Z,1,352,6,
EIF4A3,EIF4A3;eIF4AIII,P38919,411,Eukaryotic initiation factor 4A-III,1,False,,True,2025-08-01T00:00:00Z,1,411,6,
EIF4G2,EIF4G2,P78344,907,Eukaryotic translation initiation factor 4 gamma 2,1,False,,True,2025-08-01T00:00:00Z,1,907,6,
ELAVL1,ELAVL1,Q15717,326,ELAV-like protein 1,1,False,,True,2025-08-01T00:00:00Z,1,326,6,
EWSR1,EWSR1,Q01844,656,RNA-binding protein EWS,1,False,,True,2025-08-01T00:00:00Z,1,656,6,
EXOSC5,EXOSC5,Q9NQT4,235,Exosome complex component RRP46,1,False,,True,2025-08-01T00:00:00Z,1,235,6,
FAM120A,FAM120A,Q9NZB2,1118,Constitutive coactivator of PPAR-gamma-like protein 1,1,False,,True,2025-08-01T00:00:00Z,1,1118,6,
FASTKD2,FASTKD2,Q9NYY8,710,"FAST kinase domain-containing protein 2, mitochondrial",1,False,,True,2025-08-01T00:00:00Z,1,710,6,
FBL,FBL,P22087,321,rRNA 2'-O-methyltransferase fibrillarin,1,False,,True,2025-08-01T00:00:00Z,1,321,6,
FIP1L1,FIP1L1,Q6UN15,594,Pre-mRNA 3'-end-processing factor FIP1,1,False,,True,2025-08-01T00:00:00Z,1,594,6,
FKBP4,FKBP4,Q02790,459,Peptidyl-prolyl cis-trans isomerase FKBP4,1,False,,True,2025-08-01T00:00:00Z,1,459,6,
FMR1,FMR1,Q06787,632,Fragile X messenger ribonucleoprotein 1,1,False,,True,2025-08-01T00:00:00Z,1,632,6,
FTO,FTO,Q9C0B1,505,Alpha-ketoglutarate-dependent dioxygenase FTO,1,False,,True,2025-08-01T00:00:00Z,1,505,6,
FUS,FUS,P35637,526,RNA-binding protein FUS,1,False,,True,2025-08-01T00:00:00Z,1,526,6,
FXR1,FXR1,P51114,621,RNA-binding protein FXR1,1,False,,True,2025-08-01T00:00:00Z,1,621,6,
FXR2,FXR2,P51116,673,RNA-binding protein FXR2,1,False,,True,2025-08-01T00:00:00Z,1,673,6,
G3BP1,G3BP1,Q13283,466,Ras GTPase-activating protein-binding protein 1,1,False,,True,2025-08-01T00:00:00Z,1,466,6,
GEMIN5,GEMIN5,Q8TEQ6,1508,Gem-associated protein 5,1,False,,True,2025-08-01T00:00:00Z,1,1508,6,
GNL3,GNL3,Q9BVP2,549,Guanine nucleotide-binding protein-like 3,1,False,,True,2025-08-01T00:00:00Z,1,549,6,
GPKOW,GPKOW,Q92917,476,G-patch domain and KOW motifs-containing protein,1,False,,True,2025-08-01T00:00:00Z,1,476,6,
GRWD1,GRWD1,Q9BQ67,446,Glutamate-rich WD repeat-containing protein 1,1,False,,True,2025-08-01T00:00:00Z,1,446,6,
GTF2F1,GTF2F1,P35269,517,General transcription factor IIF subunit 1,1,False,,True,2025-08-01T00:00:00Z,1,517,6,
HLTF,HLTF,Q14527,1009,DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF,1,False,,True,2025-08-01T00:00:00Z,1,1009,6,
HNRNPA1,HNRNPA1,P09651,372,Heterogeneous nuclear ribonucleoprotein A1,1,False,,True,2025-08-01T00:00:00Z,1,372,6,
HNRNPC,HNRNPC,P07910,306,Heterogeneous nuclear ribonucleoproteins C1/C2,1,False,,True,2025-08-01T00:00:00Z,1,306,6,
HNRNPD,HNRNPD,Q14103,355,Heterogeneous nuclear ribonucleoprotein D0,1,False,,True,2025-08-01T00:00:00Z,1,355,6,
HNRNPF,HNRNPF,P52597,415,Heterogeneous nuclear ribonucleoprotein F,1,False,,True,2025-08-01T00:00:00Z,1,415,6,
HNRNPK,HNRNPK,P61978,463,Heterogeneous nuclear ribonucleoprotein K,1,False,,True,2025-08-01T00:00:00Z,1,463,6,
HNRNPM,HNRNPM,P52272,730,Heterogeneous nuclear ribonucleoprotein M,1,False,,True,2025-08-01T00:00:00Z,1,730,6,
HNRNPU,HNRNPU,Q00839,825,Heterogeneous nuclear ribonucleoprotein U,1,False,,True,2025-08-01T00:00:00Z,1,825,6,
HNRNPUL1,HNRNPUL1,Q9BUJ2,856,Heterogeneous nuclear ribonucleoprotein U-like protein 1,1,False,,True,2025-08-01T00:00:00Z,1,856,6,
IGF2BP1,IGF2BP1,Q9NZI8,577,Insulin-like growth factor 2 mRNA-binding protein 1,1,False,,True,2025-08-01T00:00:00Z,1,577,6,
IGF2BP2,IGF2BP2,Q9Y6M1,599,Insulin-like growth factor 2 mRNA-binding protein 2,2,False,,True,2025-08-01T00:00:00Z,1,599,6,
IGF2BP3,IGF2BP3,O00425,579,Insulin-like growth factor 2 mRNA-binding protein 3,1,False,,True,2025-08-01T00:00:00Z,1,579,6,
ILF3,ILF3,Q12906,894,Interleukin enhancer-binding factor 3,1,False,,True,2025-08-01T00:00:00Z,1,894,6,
KHDRBS1,KHDRBS1,Q07666,443,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",1,False,,True,2025-08-01T00:00:00Z,1,443,6,
KHSRP,KHSRP,Q92945,711,Far upstream element-binding protein 2,1,False,,True,2025-08-01T00:00:00Z,1,711,6,
LARP4,LARP4,Q71RC2,724,La-related protein 4,1,False,,True,2025-08-01T00:00:00Z,1,724,6,
LARP7,LARP7,Q4G0J3,582,La-related protein 7,1,False,,True,2025-08-01T00:00:00Z,1,582,6,
LIN28A,LIN28A,Q9H9Z2,209,Protein lin-28 homolog A,1,False,,True,2025-08-01T00:00:00Z,1,209,6,
LIN28B,LIN28B,Q6ZN17,250,Protein lin-28 homolog B,1,False,,True,2025-08-01T00:00:00Z,1,250,6,
LSM11,LSM11,P83369,360,U7 snRNA-associated Sm-like protein LSm11,1,False,,True,2025-08-01T00:00:00Z,1,360,6,
METAP2,METAP2,P50579,478,Methionine aminopeptidase 2,1,False,,True,2025-08-01T00:00:00Z,1,478,6,
METTL14,METTL14,Q9HCE5,456,N(6)-adenosine-methyltransferase non-catalytic subunit METTL14,1,False,,True,2025-08-01T00:00:00Z,1,456,6,
METTL3,METTL3,Q86U44,580,N(6)-adenosine-methyltransferase catalytic subunit METTL3,1,False,,True,2025-08-01T00:00:00Z,1,580,6,
MOV10,MOV10,Q9HCE1,1003,RNA helicase MOV-10,1,False,,True,2025-08-01T00:00:00Z,1,1003,6,
MTPAP,MTPAP,Q9NVV4,582,"Poly(A) RNA polymerase, mitochondrial",1,False,,True,2025-08-01T00:00:00Z,1,582,6,
NCBP2,NCBP2,P52298,156,Nuclear cap-binding protein subunit 2,1,False,,True,2025-08-01T00:00:00Z,1,156,6,
NIP7,NIP7,Q9Y221,180,60S ribosome subunit biogenesis protein NIP7 homolog,2,False,,True,2025-08-01T00:00:00Z,1,180,6,
NIPBL,NIPBL,Q6KC79,2804,Nipped-B-like protein,1,False,,True,2025-08-01T00:00:00Z,1,2697,6,
NKRF,NKRF,O15226,690,NF-kappa-B-repressing factor,1,False,,True,2025-08-01T00:00:00Z,1,690,6,
NOL12,NOL12,Q9UGY1,213,Nucleolar protein 12,1,False,,True,2025-08-01T00:00:00Z,1,213,6,
NOLC1,NOLC1,Q14978,699,Nucleolar and coiled-body phosphoprotein 1,1,False,,True,2025-08-01T00:00:00Z,1,699,6,
NONO,NONO,Q15233,471,Non-POU domain-containing octamer-binding protein,1,False,,True,2025-08-01T00:00:00Z,1,471,6,
NOP56,NOP56,O00567,594,Nucleolar protein 56,1,False,,True,2025-08-01T00:00:00Z,1,594,6,
NOP58,NOP58,Q9Y2X3,529,Nucleolar protein 58,1,False,,True,2025-08-01T00:00:00Z,1,529,6,
NPM1,NPM1,P06748,294,Nucleophosmin,1,False,,True,2025-08-01T00:00:00Z,1,294,6,
NUDT21,NUDT21,O43809,227,Cleavage and polyadenylation specificity factor subunit 5,1,False,,True,2025-08-01T00:00:00Z,1,227,6,
PABPC4,PABPC4,Q13310,644,Polyadenylate-binding protein 4,1,False,,True,2025-08-01T00:00:00Z,1,644,6,
PABPN1,PABPN1,Q86U42,306,Polyadenylate-binding protein 2,1,False,,True,2025-08-01T00:00:00Z,1,306,6,
PCBP1,PCBP1,Q15365,356,Poly(rC)-binding protein 1,1,False,,True,2025-08-01T00:00:00Z,1,356,6,
PCBP2,PCBP2,Q15366,365,Poly(rC)-binding protein 2,1,False,,True,2025-08-01T00:00:00Z,1,365,6,
PHF6,PHF6,Q8IWS0,365,PHD finger protein 6,1,False,,True,2025-08-01T00:00:00Z,1,365,6,
PPIG,PPIG,Q13427,754,Peptidyl-prolyl cis-trans isomerase G,1,False,,True,2025-08-01T00:00:00Z,1,754,6,
PRPF4,PRPF4,O43172,522,U4/U6 small nuclear ribonucleoprotein Prp4,1,False,,True,2025-08-01T00:00:00Z,1,522,6,
PRPF8,PRPF8,Q6P2Q9,2335,Pre-mRNA-processing-splicing factor 8,1,False,,True,2025-08-01T00:00:00Z,1,2335,6,
PTBP1,PTBP1,P26599,557,Polypyrimidine tract-binding protein 1,1,False,,True,2025-08-01T00:00:00Z,1,557,6,
PTBP2,PTBP2,Q9UKA9,531,Polypyrimidine tract-binding protein 2,1,False,,True,2025-08-01T00:00:00Z,1,531,6,
PUM1,PUM1,Q14671,1186,Pumilio homolog 1,1,False,,True,2025-08-01T00:00:00Z,1,1186,6,
PUM2,PUM2,Q8TB72,1066,Pumilio homolog 2,1,False,,True,2025-08-01T00:00:00Z,1,1066,6,
PUS1,PUS1,Q9Y606,427,Pseudouridylate synthase 1 homolog,1,False,,True,2025-08-01T00:00:00Z,1,427,6,
QKI,QKI,Q96PU8,341,KH domain-containing RNA-binding protein QKI,1,False,,True,2025-08-01T00:00:00Z,1,341,6,
RBFOX2,RBFOX2,O43251,390,RNA binding protein fox-1 homolog 2,1,False,,True,2025-08-01T00:00:00Z,1,390,6,
RBM15,RBM15,Q96T37,977,RNA-binding protein 15,1,False,,True,2025-08-01T00:00:00Z,1,977,6,
RBM22,RBM22,Q9NW64,420,Pre-mRNA-splicing factor RBM22,1,False,,True,2025-08-01T00:00:00Z,1,420,6,
RBM27,RBM27,Q9P2N5,1060,RNA-binding protein 27,1,False,,True,2025-08-01T00:00:00Z,1,1060,6,
RBPMS,RBPMS,Q93062,196,RNA-binding protein with multiple splicing,1,False,,True,2025-08-01T00:00:00Z,1,196,6,
RPS11,RPS11,P62280,158,Small ribosomal subunit protein uS17,1,False,,True,2025-08-01T00:00:00Z,1,158,6,
RPS3,RPS3,P23396,243,Small ribosomal subunit protein uS3,1,False,,True,2025-08-01T00:00:00Z,1,243,6,
RTCB,RTCB,Q9Y3I0,505,RNA-splicing ligase RTCB,1,False,,True,2025-08-01T00:00:00Z,1,505,6,
SAFB2,SAFB2,Q14151,953,Scaffold attachment factor B2,1,False,,True,2025-08-01T00:00:00Z,1,953,6,
SBDS,SBDS,Q9Y3A5,250,Ribosome maturation protein SBDS,1,False,,True,2025-08-01T00:00:00Z,1,250,6,
SDAD1,SDAD1,Q9NVU7,687,Protein SDA1 homolog,1,False,,True,2025-08-01T00:00:00Z,1,687,6,
SERBP1,SERBP1,Q8NC51,408,SERPINE1 mRNA-binding protein 1,1,False,,True,2025-08-01T00:00:00Z,1,408,6,
SF3A3,SF3A3,Q12874,501,Splicing factor 3A subunit 3,1,False,,True,2025-08-01T00:00:00Z,1,501,6,
SF3B1,SF3B1,O75533,1304,Splicing factor 3B subunit 1,1,False,,True,2025-08-01T00:00:00Z,1,1304,6,
SF3B4,SF3B4,Q15427,424,Splicing factor 3B subunit 4,1,False,,True,2025-08-01T00:00:00Z,1,424,6,
SLBP,SLBP,Q14493,270,Histone RNA hairpin-binding protein,1,False,,True,2025-08-01T00:00:00Z,1,270,6,
SLTM,SLTM,Q9NWH9,1034,SAFB-like transcription modulator,1,False,,True,2025-08-01T00:00:00Z,1,1034,6,
SMNDC1,SMNDC1,O75940,238,Survival of motor neuron-related-splicing factor 30,1,False,,True,2025-08-01T00:00:00Z,1,238,6,
SND1,SND1,Q7KZF4,910,Staphylococcal nuclease domain-containing protein 1,2,False,,True,2025-08-01T00:00:00Z,1,910,6,
SRRM4,SRRM4,A7MD48,611,Serine/arginine repetitive matrix protein 4,1,False,,True,2025-08-01T00:00:00Z,1,611,6,
SRSF1,SRSF1,Q07955,248,Serine/arginine-rich splicing factor 1,1,False,,True,2025-08-01T00:00:00Z,1,248,6,
SRSF7,SRSF7,Q16629,238,Serine/arginine-rich splicing factor 7,1,False,,True,2025-08-01T00:00:00Z,1,238,6,
SRSF9,SRSF9,Q13242,221,Serine/arginine-rich splicing factor 9,1,False,,True,2025-08-01T00:00:00Z,1,221,6,
SUB1,SUB1,P53999,127,Activated RNA polymerase II transcriptional coactivator p15,1,False,,True,2025-08-01T00:00:00Z,1,127,6,
SUPV3L1,SUPV3L1,Q8IYB8,786,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",1,False,,True,2025-08-01T00:00:00Z,1,786,6,
TAF15,TAF15,Q92804,592,TATA-binding protein-associated factor 2N,2,False,,True,2025-08-01T00:00:00Z,1,592,6,
TARDBP,TARDBP,Q13148,414,TAR DNA-binding protein 43,1,False,,True,2025-08-01T00:00:00Z,1,414,6,
TBRG4,TBRG4,Q969Z0,631,FAST kinase domain-containing protein 4,1,False,,True,2025-08-01T00:00:00Z,1,631,6,
TIA1,TIA1,P31483,386,Cytotoxic granule associated RNA binding protein TIA1,1,False,,True,2025-08-01T00:00:00Z,1,386,6,
TIAL1,TIAL1,Q01085,375,Nucleolysin TIAR,1,False,,True,2025-08-01T00:00:00Z,1,375,6,
TNRC6A,TNRC6A,Q8NDV7,1962,Trinucleotide repeat-containing gene 6A protein,1,False,,True,2025-08-01T00:00:00Z,1,1962,6,
TRA2A,TRA2A,Q13595,282,Transformer-2 protein homolog alpha,1,False,,True,2025-08-01T00:00:00Z,1,282,6,
TROVE2,TROVE2,P10155,538,RNA-binding protein RO60,1,False,,True,2025-08-01T00:00:00Z,1,538,6,
U2AF1,U2AF1,Q01081,240,Splicing factor U2AF 35 kDa subunit,4,False,,True,2025-08-01T00:00:00Z,1,240,6,
U2AF2,U2AF2;U2AF65,P26368,475,Splicing factor U2AF 65 kDa subunit,1,False,,True,2025-08-01T00:00:00Z,1,475,6,
UCHL5,UCHL5,Q9Y5K5,329,Ubiquitin carboxyl-terminal hydrolase isozyme L5,1,False,,True,2025-08-01T00:00:00Z,1,329,6,
UPF1,UPF1,Q92900,1129,Regulator of nonsense transcripts 1,1,False,,True,2025-08-01T00:00:00Z,1,1129,6,
UTP18,UTP18,Q9Y5J1,556,U3 small nucleolar RNA-associated protein 18 homolog,1,False,,True,2025-08-01T00:00:00Z,1,556,6,
UTP3,UTP3,Q9NQZ2,479,Something about silencing protein 10,1,False,,True,2025-08-01T00:00:00Z,1,479,6,
WDR3,WDR3,Q9UNX4,943,WD repeat-containing protein 3,1,False,,True,2025-08-01T00:00:00Z,1,943,6,
WDR33,WDR33,Q9C0J8,1336,pre-mRNA 3' end processing protein WDR33,1,False,,True,2025-08-01T00:00:00Z,1,1336,6,
WDR43,WDR43,Q15061,677,WD repeat-containing protein 43,1,False,,True,2025-08-01T00:00:00Z,1,677,6,
WRN,WRN,Q14191,1432,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,1,False,,True,2025-08-01T00:00:00Z,1,1432,6,
WTAP,WTAP,Q15007,396,Pre-mRNA-splicing regulator WTAP,1,False,,True,2025-08-01T00:00:00Z,1,396,6,
XRCC6,XRCC6,P12956,609,DNA repair protein Ku70,1,False,,True,2025-08-01T00:00:00Z,1,609,6,
XRN2,XRN2,Q9H0D6,950,5'-3' exoribonuclease 2,1,False,,True,2025-08-01T00:00:00Z,1,950,6,
YBX3,YBX3,P16989,372,Y-box-binding protein 3,1,False,,True,2025-08-01T00:00:00Z,1,372,6,
YTHDF2,YTHDF2,Q9Y5A9,579,YTH domain-containing family protein 2,1,False,,True,2025-08-01T00:00:00Z,1,579,6,
YWHAG,YWHAG,P61981,247,14-3-3 protein gamma,1,False,,True,2025-08-01T00:00:00Z,1,247,6,
ZC3H11A,ZC3H11A,O75152,810,Zinc finger CCCH domain-containing protein 11A,1,False,,True,2025-08-01T00:00:00Z,1,810,6,
ZC3H7B,ZC3H7B,Q9UGR2,977,Zinc finger CCCH domain-containing protein 7B,1,False,,True,2025-08-01T00:00:00Z,1,977,6,
ZNF622,ZNF622,Q969S3,477,Cytoplasmic 60S subunit biogenesis factor ZNF622,1,False,,True,2025-08-01T00:00:00Z,1,477,6,
ZNF800,ZNF800,Q2TB10,664,Zinc finger protein 800,1,False,,True,2025-08-01T00:00:00Z,1,664,6,
ZRANB2,ZRANB2,O95218,330,Zinc finger Ran-binding domain-containing protein 2,1,False,,True,2025-08-01T00:00:00Z,1,330,6,
