dataset,rbp,tier,coverage,defect_kind,evidence
FAM120A_HepG2,FAM120A,TIER 2 - incomplete,495/1118 = 44%,truncated/short isoform or divergent isoform,"correct protein, 44% length coverage, k-mer identity 0.969"
FAM120A_K562,FAM120A,TIER 2 - incomplete,495/1118 = 44%,truncated/short isoform or divergent isoform,"correct protein, 44% length coverage, k-mer identity 0.969"
HLTF_HepG2,HLTF,TIER 2 - incomplete,455/1009 = 45%,truncated/short isoform or divergent isoform,"correct protein, 45% length coverage, k-mer identity 0.998"
HLTF_K562,HLTF,TIER 2 - incomplete,455/1009 = 45%,truncated/short isoform or divergent isoform,"correct protein, 45% length coverage, k-mer identity 0.998"
ILF3_K562,ILF3,TIER 2 - incomplete,441/894 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 0.977"
LARP7_HepG2,LARP7,TIER 2 - incomplete,288/582 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 0.996"
LARP7_K562,LARP7,TIER 2 - incomplete,288/582 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 0.996"
SLTM_HepG2,SLTM,TIER 2 - incomplete,502/1034 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 1.000"
SLTM_K562,SLTM,TIER 2 - incomplete,502/1034 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 1.000"
TROVE2_K562,TROVE2,TIER 2 - incomplete,263/538 = 49%,truncated/short isoform or divergent isoform,"correct protein, 49% length coverage, k-mer identity 1.000"
LARP4_HepG2,LARP4,TIER 2 - incomplete,374/724 = 52%,truncated/short isoform or divergent isoform,"correct protein, 52% length coverage, k-mer identity 0.995"
LARP4_K562,LARP4,TIER 2 - incomplete,374/724 = 52%,truncated/short isoform or divergent isoform,"correct protein, 52% length coverage, k-mer identity 0.995"
C17ORF85_HEK293,C17ORF85,TIER 2 - incomplete,334/620 = 54%,truncated/short isoform or divergent isoform,"correct protein, 54% length coverage, k-mer identity 1.000"
ELAVL1_HEK293,ELAVL1,TIER 2 - incomplete,179/326 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 0.794"
ELAVL1_Hela,ELAVL1,TIER 2 - incomplete,179/326 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 0.794"
NCBP2_HepG2,NCBP2,TIER 2 - incomplete,86/156 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 1.000"
NCBP2_K562,NCBP2,TIER 2 - incomplete,86/156 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 1.000"
RPS3_HepG2,RPS3,TIER 2 - incomplete,133/243 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 0.887"
RPS3_K562,RPS3,TIER 2 - incomplete,133/243 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 0.887"
SAFB2_K562,SAFB2,TIER 2 - incomplete,526/953 = 55%,truncated/short isoform or divergent isoform,"correct protein, 55% length coverage, k-mer identity 0.973"
MOV10_HEK293,MOV10,TIER 2 - incomplete,561/1003 = 56%,truncated/short isoform or divergent isoform,"correct protein, 56% length coverage, k-mer identity 0.917"
AGGF1_HepG2,AGGF1,TIER 2 - incomplete,414/714 = 58%,truncated/short isoform or divergent isoform,"correct protein, 58% length coverage, k-mer identity 0.985"
AGGF1_K562,AGGF1,TIER 2 - incomplete,414/714 = 58%,truncated/short isoform or divergent isoform,"correct protein, 58% length coverage, k-mer identity 0.985"
NOLC1_HepG2,NOLC1,TIER 2 - incomplete,418/699 = 60%,truncated/short isoform or divergent isoform,"correct protein, 60% length coverage, k-mer identity 1.000"
NOLC1_K562,NOLC1,TIER 2 - incomplete,418/699 = 60%,truncated/short isoform or divergent isoform,"correct protein, 60% length coverage, k-mer identity 1.000"
DDX3X_HepG2,DDX3X,TIER 2 - incomplete,475/662 = 72%,truncated/short isoform or divergent isoform,"correct protein, 72% length coverage, k-mer identity 0.983"
DDX3X_K562,DDX3X,TIER 2 - incomplete,475/662 = 72%,truncated/short isoform or divergent isoform,"correct protein, 72% length coverage, k-mer identity 0.983"
NIP7_HepG2,NIP7,TIER 2 - incomplete,133/180 = 74%,truncated/short isoform or divergent isoform,"correct protein, 74% length coverage, k-mer identity 0.927"
NOP56_HEK293,NOP56,TIER 2 - incomplete,447/594 = 75%,truncated/short isoform or divergent isoform,"correct protein, 75% length coverage, k-mer identity 0.995"
IGF2BP1_HEK293,IGF2BP1,TIER 2 - incomplete,438/577 = 76%,truncated/short isoform or divergent isoform,"correct protein, 76% length coverage, k-mer identity 0.981"
IGF2BP1_HepG2,IGF2BP1,TIER 2 - incomplete,438/577 = 76%,truncated/short isoform or divergent isoform,"correct protein, 76% length coverage, k-mer identity 0.981"
IGF2BP1_K562,IGF2BP1,TIER 2 - incomplete,438/577 = 76%,truncated/short isoform or divergent isoform,"correct protein, 76% length coverage, k-mer identity 0.981"
ATXN2_HEK293T,ATXN2,TIER 2 - incomplete,1006/1313 = 77%,truncated/short isoform or divergent isoform,"correct protein, 77% length coverage, k-mer identity 0.981"
EIF4G2_K562,EIF4G2,TIER 2 - incomplete,701/907 = 77%,truncated/short isoform or divergent isoform,"correct protein, 77% length coverage, k-mer identity 1.000"
BUD13_HepG2,BUD13,TIER 2 - incomplete,485/619 = 78%,truncated/short isoform or divergent isoform,"correct protein, 78% length coverage, k-mer identity 0.983"
BUD13_K562,BUD13,TIER 2 - incomplete,485/619 = 78%,truncated/short isoform or divergent isoform,"correct protein, 78% length coverage, k-mer identity 0.983"
CPSF3_HEK293,CPSF3,TIER 2 - incomplete,554/684 = 81%,truncated/short isoform or divergent isoform,"correct protein, 81% length coverage, k-mer identity 0.969"
DKC1_HepG2,DKC1,TIER 2 - incomplete,420/514 = 82%,truncated/short isoform or divergent isoform,"correct protein, 82% length coverage, k-mer identity 0.998"
HNRNPM_HepG2,HNRNPM,TIER 2 - incomplete,595/730 = 82%,truncated/short isoform or divergent isoform,"correct protein, 82% length coverage, k-mer identity 0.988"
HNRNPM_K562,HNRNPM,TIER 2 - incomplete,595/730 = 82%,truncated/short isoform or divergent isoform,"correct protein, 82% length coverage, k-mer identity 0.988"
KHDRBS1_K562,KHDRBS1,TIER 2 - incomplete,381/443 = 86%,truncated/short isoform or divergent isoform,"correct protein, 86% length coverage, k-mer identity 0.968"
CPSF6_HEK293,CPSF6,TIER 2 - incomplete,478/551 = 87%,truncated/short isoform or divergent isoform,"correct protein, 87% length coverage, k-mer identity 0.985"
CPSF6_K562,CPSF6,TIER 2 - incomplete,478/551 = 87%,truncated/short isoform or divergent isoform,"correct protein, 87% length coverage, k-mer identity 0.985"
SLBP_K562,SLBP,TIER 2 - incomplete,235/270 = 87%,truncated/short isoform or divergent isoform,"correct protein, 87% length coverage, k-mer identity 0.960"
DDX6_HepG2,DDX6,TIER 2 - incomplete,434/483 = 90%,truncated/short isoform or divergent isoform,"correct protein, 90% length coverage, k-mer identity 0.979"
DDX6_K562,DDX6,TIER 2 - incomplete,434/483 = 90%,truncated/short isoform or divergent isoform,"correct protein, 90% length coverage, k-mer identity 0.979"
NPM1_K562,NPM1,TIER 2 - incomplete,265/294 = 90%,truncated/short isoform or divergent isoform,"correct protein, 90% length coverage, k-mer identity 0.969"
PCBP2_HepG2,PCBP2,TIER 2 - incomplete,335/365 = 92%,truncated/short isoform or divergent isoform,"correct protein, 92% length coverage, k-mer identity 0.942"
PUM2_HEK293,PUM2,TIER 2 - incomplete,985/1066 = 92%,truncated/short isoform or divergent isoform,"correct protein, 92% length coverage, k-mer identity 0.982"
PUM2_K562,PUM2,TIER 2 - incomplete,985/1066 = 92%,truncated/short isoform or divergent isoform,"correct protein, 92% length coverage, k-mer identity 0.982"
BCCIP_HepG2,BCCIP,TIER 2 - incomplete,292/314 = 93%,truncated/short isoform or divergent isoform,"correct protein, 93% length coverage, k-mer identity 0.880"
FIP1L1_HEK293,FIP1L1,TIER 2 - incomplete,559/594 = 94%,truncated/short isoform or divergent isoform,"correct protein, 94% length coverage, k-mer identity 0.891"
FTO_HepG2,FTO,TIER 2 - incomplete,482/505 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.943"
FTO_K562,FTO,TIER 2 - incomplete,482/505 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.943"
HNRNPK_HepG2,HNRNPK,TIER 2 - incomplete,440/463 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.965"
HNRNPK_K562,HNRNPK,TIER 2 - incomplete,440/463 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.965"
PTBP1PTBP2_Hela,PTBP1,TIER 2 - incomplete,531/557 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.985"
PTBP1_HEK293T,PTBP1,TIER 2 - incomplete,531/557 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.985"
PTBP1_Hela,PTBP1,TIER 2 - incomplete,531/557 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.985"
PTBP1_HepG2,PTBP1,TIER 2 - incomplete,531/557 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.985"
PTBP1_K562,PTBP1,TIER 2 - incomplete,531/557 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.985"
SDAD1_HepG2,SDAD1,TIER 2 - incomplete,650/687 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.988"
SDAD1_K562,SDAD1,TIER 2 - incomplete,650/687 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.988"
SERBP1_K562,SERBP1,TIER 2 - incomplete,387/408 = 95%,truncated/short isoform or divergent isoform,"correct protein, 95% length coverage, k-mer identity 0.955"
AATF_K562,AATF,TIER 2 - incomplete,536/560 = 96%,truncated/short isoform or divergent isoform,"correct protein, 96% length coverage, k-mer identity 0.985"
HNRNPC_Hela,HNRNPC,TIER 2 - incomplete,293/306 = 96%,truncated/short isoform or divergent isoform,"correct protein, 96% length coverage, k-mer identity 0.972"
HNRNPC_HepG2,HNRNPC,TIER 2 - incomplete,293/306 = 96%,truncated/short isoform or divergent isoform,"correct protein, 96% length coverage, k-mer identity 0.972"
CPEB4_K562,CPEB4,TIER 2 - incomplete,704/729 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.989"
CSTF2_HEK293,CSTF2,TIER 2 - incomplete,560/577 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.987"
CSTF2_Hela,CSTF2,TIER 2 - incomplete,560/577 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.987"
FXR2_HEK293,FXR2,TIER 2 - incomplete,653/673 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.983"
FXR2_HepG2,FXR2,TIER 2 - incomplete,653/673 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.983"
FXR2_K562,FXR2,TIER 2 - incomplete,653/673 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.983"
PABPN1_HepG2,PABPN1,TIER 2 - incomplete,296/306 = 97%,truncated/short isoform or divergent isoform,"correct protein, 97% length coverage, k-mer identity 0.993"
PPIG_HepG2,PPIG,TIER 2 - incomplete,739/754 = 98%,truncated/short isoform or divergent isoform,"correct protein, 98% length coverage, k-mer identity 0.975"
QKI_HEK293,QKI,TIER 2 - incomplete,333/341 = 98%,truncated/short isoform or divergent isoform,"correct protein, 98% length coverage, k-mer identity 0.941"
RBM15_HepG2,RBM15,TIER 2 - incomplete,969/977 = 99%,truncated/short isoform or divergent isoform,"correct protein, 99% length coverage, k-mer identity 0.984"
RBM15_K562,RBM15,TIER 2 - incomplete,969/977 = 99%,truncated/short isoform or divergent isoform,"correct protein, 99% length coverage, k-mer identity 0.984"
AQR_HepG2,AQR,TIER 2 - incomplete,1485/1485 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.986"
AQR_K562,AQR,TIER 2 - incomplete,1485/1485 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.986"
EWSR1_HEK293,EWSR1,TIER 2 - incomplete,655/656 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.986"
FXR1_HEK293,FXR1,TIER 2 - incomplete,621/621 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.977"
FXR1_K562,FXR1,TIER 2 - incomplete,621/621 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.977"
KHSRP_K562,KHSRP,TIER 2 - incomplete,710/711 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.941"
METAP2_K562,METAP2,TIER 2 - incomplete,477/478 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.983"
PRPF4_HepG2,PRPF4,TIER 2 - incomplete,521/522 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.981"
UCHL5_HepG2,UCHL5,TIER 2 - incomplete,328/329 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.978"
UCHL5_K562,UCHL5,TIER 2 - incomplete,328/329 = 100%,truncated/short isoform or divergent isoform,"correct protein, 100% length coverage, k-mer identity 0.978"
PTBP1PTBP2_Hela,PTBP2,TIER 2 - incomplete,539/531 = 102%,truncated/short isoform or divergent isoform,"correct protein, 102% length coverage, k-mer identity 0.979"
RBFOX2_HepG2,RBFOX2,TIER 2 - incomplete,437/390 = 112%,truncated/short isoform or divergent isoform,"correct protein, 112% length coverage, k-mer identity 0.649"
RBFOX2_K562,RBFOX2,TIER 2 - incomplete,437/390 = 112%,truncated/short isoform or divergent isoform,"correct protein, 112% length coverage, k-mer identity 0.649"
NKRF_HepG2,NKRF,TIER 2 - incomplete,784/690 = 114%,truncated/short isoform or divergent isoform,"correct protein, 114% length coverage, k-mer identity 0.881"
